0	1	2	3	4	1_binned	2_binned	3_binned	4_binned
1	0.693	0.46	1.485	0.579	(0.617, 0.745]	(0.383, 0.729]	(1.272, 1.743]	(0.56, 0.727]
0	0.753	-0.642	0.58	0.686	(0.745, 0.881]	(-0.727, -0.39]	(0.416, 0.796]	(0.56, 0.727]
1	0.493	-1.34	-1.28	1.537	(0.463, 0.617]	(-2.36, -1.216]	(-1.358, -0.897]	(1.27, 1.578]
0	0.438	-0.827	1.361	0.702	(0.274, 0.463]	(-1.216, -0.727]	(1.272, 1.743]	(0.56, 0.727]
0	0.585	0.462	-0.588	1.346	(0.463, 0.617]	(0.383, 0.729]	(-0.897, -0.498]	(1.27, 1.578]
1	0.307	-1.864	0.73	0.868	(0.274, 0.463]	(-2.36, -1.216]	(0.416, 0.796]	(0.727, 0.884]
1	0.687	0.401	-1.718	0.229	(0.617, 0.745]	(0.383, 0.729]	(-1.742, -1.358]	(0.018, 0.376]
0	2.058	0.191	1.474	0.653	(1.663, 5.331]	(-0.0025, 0.383]	(1.272, 1.743]	(0.56, 0.727]
1	0.647	1.255	-1.699	1.302	(0.617, 0.745]	(1.236, 2.43]	(-1.742, -1.358]	(1.27, 1.578]
0	0.58	-0.676	1.715	1.587	(0.463, 0.617]	(-0.727, -0.39]	(1.272, 1.743]	(1.578, 5.7]
1	0.288	-2.154	-0.071	1.13	(0.274, 0.463]	(-2.36, -1.216]	(-0.498, -0.0495]	(1.084, 1.27]
1	1.423	1.049	-1.648	1.105	(1.267, 1.663]	(0.729, 1.236]	(-1.742, -1.358]	(1.084, 1.27]
0	0.759	0.896	0.919	1.366	(0.745, 0.881]	(0.729, 1.236]	(0.796, 1.272]	(1.27, 1.578]
1	1.109	-0.751	0.057	0.535	(1.045, 1.267]	(-1.216, -0.727]	(-0.0495, 0.416]	(0.376, 0.56]
1	0.624	-0.15	1.539	0.554	(0.617, 0.745]	(-0.39, -0.0025]	(1.272, 1.743]	(0.376, 0.56]
0	0.569	2.386	1.58	1.233	(0.463, 0.617]	(1.236, 2.43]	(1.272, 1.743]	(1.084, 1.27]
0	0.863	-1.453	0.273	1.565	(0.745, 0.881]	(-2.36, -1.216]	(-0.0495, 0.416]	(1.27, 1.578]
1	0.586	-1.273	1.394	0.04	(0.463, 0.617]	(-2.36, -1.216]	(1.272, 1.743]	(0.018, 0.376]
1	1.674	-0.13	0.319	1.216	(1.663, 5.331]	(-0.39, -0.0025]	(-0.0495, 0.416]	(1.084, 1.27]
0	0.551	1.17	-0.672	1.159	(0.463, 0.617]	(0.729, 1.236]	(-0.897, -0.498]	(1.084, 1.27]
0	0.389	-0.963	1.296	0.386	(0.274, 0.463]	(-1.216, -0.727]	(1.272, 1.743]	(0.376, 0.56]
1	0.782	-0.17	-0.049	0.863	(0.745, 0.881]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.727, 0.884]
1	0.632	-1.118	-1.367	0.996	(0.617, 0.745]	(-1.216, -0.727]	(-1.742, -1.358]	(0.884, 1.084]
1	0.68	1.366	-0.416	1.004	(0.617, 0.745]	(1.236, 2.43]	(-0.498, -0.0495]	(0.884, 1.084]
0	1.369	0.372	1.691	0.342	(1.267, 1.663]	(-0.0025, 0.383]	(1.272, 1.743]	(0.018, 0.376]
0	0.794	1.949	0.703	0.324	(0.745, 0.881]	(1.236, 2.43]	(0.416, 0.796]	(0.018, 0.376]
0	0.534	-0.706	-1.284	1.574	(0.463, 0.617]	(-0.727, -0.39]	(-1.358, -0.897]	(1.27, 1.578]
1	1.95	-0.143	-0.222	0.999	(1.663, 5.331]	(-0.39, -0.0025]	(-0.498, -0.0495]	(0.884, 1.084]
0	0.415	1.655	-1.666	1.441	(0.274, 0.463]	(1.236, 2.43]	(-1.742, -1.358]	(1.27, 1.578]
0	0.301	-0.435	1.176	2.128	(0.274, 0.463]	(-0.727, -0.39]	(0.796, 1.272]	(1.578, 5.7]
0	0.63	0.685	0.468	0.919	(0.617, 0.745]	(0.383, 0.729]	(0.416, 0.796]	(0.884, 1.084]
1	0.454	-1.22	1.122	0.662	(0.274, 0.463]	(-2.36, -1.216]	(0.796, 1.272]	(0.56, 0.727]
0	1.904	-0.093	-1.471	1.313	(1.663, 5.331]	(-0.39, -0.0025]	(-1.742, -1.358]	(1.27, 1.578]
1	0.787	-0.891	0.909	0.873	(0.745, 0.881]	(-1.216, -0.727]	(0.796, 1.272]	(0.727, 0.884]
1	1.474	0.491	0.744	0.392	(1.267, 1.663]	(0.383, 0.729]	(0.416, 0.796]	(0.376, 0.56]
0	0.463	1.242	-1.314	2.791	(0.274, 0.463]	(1.236, 2.43]	(-1.358, -0.897]	(1.578, 5.7]
0	1.079	-0.575	0.495	0.313	(1.045, 1.267]	(-0.727, -0.39]	(0.416, 0.796]	(0.018, 0.376]
1	0.92	0.674	0.591	0.417	(0.881, 1.045]	(0.383, 0.729]	(0.416, 0.796]	(0.376, 0.56]
1	0.697	0.436	1.342	0.199	(0.617, 0.745]	(0.383, 0.729]	(1.272, 1.743]	(0.018, 0.376]
1	1.002	0.348	-1.265	1.269	(0.881, 1.045]	(-0.0025, 0.383]	(-1.358, -0.897]	(1.084, 1.27]
1	0.401	2.052	-1.082	1.207	(0.274, 0.463]	(1.236, 2.43]	(-1.358, -0.897]	(1.084, 1.27]
0	0.645	-1.241	0.485	2.162	(0.617, 0.745]	(-2.36, -1.216]	(0.416, 0.796]	(1.578, 5.7]
1	0.934	-0.787	1.514	0.149	(0.881, 1.045]	(-1.216, -0.727]	(1.272, 1.743]	(0.018, 0.376]
1	0.801	0.08	-0.663	0.347	(0.745, 0.881]	(-0.0025, 0.383]	(-0.897, -0.498]	(0.018, 0.376]
0	1.44	-0.196	-0.599	1.265	(1.267, 1.663]	(-0.39, -0.0025]	(-0.897, -0.498]	(1.084, 1.27]
1	0.928	0.249	-1.091	0.799	(0.881, 1.045]	(-0.0025, 0.383]	(-1.358, -0.897]	(0.727, 0.884]
1	0.417	-0.87	-1.429	0.71	(0.274, 0.463]	(-1.216, -0.727]	(-1.742, -1.358]	(0.56, 0.727]
1	0.943	-0.893	-0.091	0.943	(0.881, 1.045]	(-1.216, -0.727]	(-0.498, -0.0495]	(0.884, 1.084]
0	0.671	-1.476	-1.489	1.633	(0.617, 0.745]	(-2.36, -1.216]	(-1.742, -1.358]	(1.578, 5.7]
1	0.932	0.036	-1.741	1.614	(0.881, 1.045]	(-0.0025, 0.383]	(-1.742, -1.358]	(1.578, 5.7]
1	0.81	1.075	-0.641	1.238	(0.745, 0.881]	(0.729, 1.236]	(-0.897, -0.498]	(1.084, 1.27]
0	1.256	0.559	0.839	0.545	(1.045, 1.267]	(0.383, 0.729]	(0.796, 1.272]	(0.376, 0.56]
0	1.305	0.256	0.817	0.433	(1.267, 1.663]	(-0.0025, 0.383]	(0.796, 1.272]	(0.376, 0.56]
1	0.742	0.523	1.054	1.258	(0.617, 0.745]	(0.383, 0.729]	(0.796, 1.272]	(1.084, 1.27]
0	0.777	2.26	1.45	1.346	(0.745, 0.881]	(1.236, 2.43]	(1.272, 1.743]	(1.27, 1.578]
0	0.451	-2.143	-0.834	1.143	(0.274, 0.463]	(-2.36, -1.216]	(-0.897, -0.498]	(1.084, 1.27]
0	0.818	-0.663	1.109	1.043	(0.745, 0.881]	(-0.727, -0.39]	(0.796, 1.272]	(0.884, 1.084]
1	1.788	0.17	-0.595	0.32	(1.663, 5.331]	(-0.0025, 0.383]	(-0.897, -0.498]	(0.018, 0.376]
1	0.558	-0.627	0.091	1.325	(0.463, 0.617]	(-0.727, -0.39]	(-0.0495, 0.416]	(1.27, 1.578]
0	0.741	0.706	1.546	0.985	(0.617, 0.745]	(0.383, 0.729]	(1.272, 1.743]	(0.884, 1.084]
1	0.744	-0.659	0.502	0.939	(0.617, 0.745]	(-0.727, -0.39]	(0.416, 0.796]	(0.884, 1.084]
1	1.78	0.235	-0.147	0.885	(1.663, 5.331]	(-0.0025, 0.383]	(-0.498, -0.0495]	(0.884, 1.084]
1	0.721	-1.425	0.859	0.327	(0.617, 0.745]	(-2.36, -1.216]	(0.796, 1.272]	(0.018, 0.376]
0	1.954	-0.564	-1.073	0.619	(1.663, 5.331]	(-0.727, -0.39]	(-1.358, -0.897]	(0.56, 0.727]
0	1.815	-1.727	1.495	1.537	(1.663, 5.331]	(-2.36, -1.216]	(1.272, 1.743]	(1.27, 1.578]
0	0.439	1.898	0.44	0.923	(0.274, 0.463]	(1.236, 2.43]	(0.416, 0.796]	(0.884, 1.084]
1	0.597	-1.663	-0.154	0.568	(0.463, 0.617]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.56, 0.727]
0	1.971	0.855	0.367	0.062	(1.663, 5.331]	(0.729, 1.236]	(-0.0495, 0.416]	(0.018, 0.376]
0	2.475	-1.448	-0.413	0.593	(1.663, 5.331]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.56, 0.727]
1	0.939	-0.172	1.04	0.513	(0.881, 1.045]	(-0.39, -0.0025]	(0.796, 1.272]	(0.376, 0.56]
1	1.53	0.627	1.239	0.681	(1.267, 1.663]	(0.383, 0.729]	(0.796, 1.272]	(0.56, 0.727]
1	0.729	0.312	0.462	1.264	(0.617, 0.745]	(-0.0025, 0.383]	(0.416, 0.796]	(1.084, 1.27]
1	0.879	0.32	-0.376	2.413	(0.745, 0.881]	(-0.0025, 0.383]	(-0.498, -0.0495]	(1.578, 5.7]
1	0.669	0.353	-1.717	0.385	(0.617, 0.745]	(-0.0025, 0.383]	(-1.742, -1.358]	(0.376, 0.56]
0	1.539	-0.825	-1.022	0.991	(1.267, 1.663]	(-1.216, -0.727]	(-1.358, -0.897]	(0.884, 1.084]
1	2.168	0.073	-0.688	0.725	(1.663, 5.331]	(-0.0025, 0.383]	(-0.897, -0.498]	(0.56, 0.727]
1	1.896	-0.414	-0.963	0.636	(1.663, 5.331]	(-0.727, -0.39]	(-1.358, -0.897]	(0.56, 0.727]
1	0.855	-1.294	0.416	1.312	(0.745, 0.881]	(-2.36, -1.216]	(-0.0495, 0.416]	(1.27, 1.578]
1	4.335	-0.902	-0.53	0.835	(1.663, 5.331]	(-1.216, -0.727]	(-0.897, -0.498]	(0.727, 0.884]
0	0.656	0.761	-1.076	0.99	(0.617, 0.745]	(0.729, 1.236]	(-1.358, -0.897]	(0.884, 1.084]
0	2.683	-0.605	0.494	0.89	(1.663, 5.331]	(-0.727, -0.39]	(0.416, 0.796]	(0.884, 1.084]
1	0.565	-0.095	0.713	0.188	(0.463, 0.617]	(-0.39, -0.0025]	(0.416, 0.796]	(0.018, 0.376]
1	0.621	-1.016	0.577	0.776	(0.617, 0.745]	(-1.216, -0.727]	(0.416, 0.796]	(0.727, 0.884]
0	1.013	-0.552	1.71	0.265	(0.881, 1.045]	(-0.727, -0.39]	(1.272, 1.743]	(0.018, 0.376]
0	2.391	-1.293	0.948	1.21	(1.663, 5.331]	(-2.36, -1.216]	(0.796, 1.272]	(1.084, 1.27]
1	0.948	-0.014	0.759	0.496	(0.881, 1.045]	(-0.39, -0.0025]	(0.416, 0.796]	(0.376, 0.56]
0	0.95	-1.377	1.522	1.153	(0.881, 1.045]	(-2.36, -1.216]	(1.272, 1.743]	(1.084, 1.27]
1	0.529	-0.59	-0.818	1.141	(0.463, 0.617]	(-0.727, -0.39]	(-0.897, -0.498]	(1.084, 1.27]
1	0.865	-0.429	-0.818	0.711	(0.745, 0.881]	(-0.727, -0.39]	(-0.897, -0.498]	(0.56, 0.727]
0	2.584	-0.257	-0.364	2.446	(1.663, 5.331]	(-0.39, -0.0025]	(-0.498, -0.0495]	(1.578, 5.7]
1	0.626	1.159	-0.123	1.036	(0.617, 0.745]	(0.729, 1.236]	(-0.498, -0.0495]	(0.884, 1.084]
1	0.685	0.49	0.258	2.455	(0.617, 0.745]	(0.383, 0.729]	(-0.0495, 0.416]	(1.578, 5.7]
1	1.567	0.41	-0.444	0.838	(1.267, 1.663]	(0.383, 0.729]	(-0.498, -0.0495]	(0.727, 0.884]
0	0.983	1.151	-0.541	1.881	(0.881, 1.045]	(0.729, 1.236]	(-0.897, -0.498]	(1.578, 5.7]
1	0.749	-0.875	-1.195	0.766	(0.745, 0.881]	(-1.216, -0.727]	(-1.358, -0.897]	(0.727, 0.884]
0	0.697	0.026	-1.442	0.788	(0.617, 0.745]	(-0.0025, 0.383]	(-1.742, -1.358]	(0.727, 0.884]
0	1.791	-0.412	1.684	0.433	(1.663, 5.331]	(-0.727, -0.39]	(1.272, 1.743]	(0.376, 0.56]
1	0.88	-1.111	-1.408	2.535	(0.745, 0.881]	(-1.216, -0.727]	(-1.742, -1.358]	(1.578, 5.7]
0	1.21	0.383	-1.246	0.442	(1.045, 1.267]	(-0.0025, 0.383]	(-1.358, -0.897]	(0.376, 0.56]
1	1.166	0.383	-0.953	0.77	(1.045, 1.267]	(-0.0025, 0.383]	(-1.358, -0.897]	(0.727, 0.884]
0	0.662	0.429	1.475	1.126	(0.617, 0.745]	(0.383, 0.729]	(1.272, 1.743]	(1.084, 1.27]
1	1.842	-1.461	0.324	0.521	(1.663, 5.331]	(-2.36, -1.216]	(-0.0495, 0.416]	(0.376, 0.56]
0	1.781	0.188	1.399	0.115	(1.663, 5.331]	(-0.0025, 0.383]	(1.272, 1.743]	(0.018, 0.376]
1	1.542	0.725	-1.055	0.75	(1.267, 1.663]	(0.383, 0.729]	(-1.358, -0.897]	(0.727, 0.884]
1	1.283	-1.669	0.7	0.582	(1.267, 1.663]	(-2.36, -1.216]	(0.416, 0.796]	(0.56, 0.727]
1	1.462	-0.491	1.483	0.307	(1.267, 1.663]	(-0.727, -0.39]	(1.272, 1.743]	(0.018, 0.376]
1	0.705	-1.57	0.177	1.32	(0.617, 0.745]	(-2.36, -1.216]	(-0.0495, 0.416]	(1.27, 1.578]
1	1.21	-1.128	-0.022	0.57	(1.045, 1.267]	(-1.216, -0.727]	(-0.0495, 0.416]	(0.56, 0.727]
1	1.165	-0.59	1.582	0.222	(1.045, 1.267]	(-0.727, -0.39]	(1.272, 1.743]	(0.018, 0.376]
1	1.449	1.07	0.521	0.371	(1.267, 1.663]	(0.729, 1.236]	(0.416, 0.796]	(0.018, 0.376]
1	0.717	-0.863	1.272	1.338	(0.617, 0.745]	(-1.216, -0.727]	(0.796, 1.272]	(1.27, 1.578]
0	0.837	-0.18	1.222	0.715	(0.745, 0.881]	(-0.39, -0.0025]	(0.796, 1.272]	(0.56, 0.727]
1	1.432	-0.539	-0.39	0.872	(1.267, 1.663]	(-0.727, -0.39]	(-0.498, -0.0495]	(0.727, 0.884]
0	0.371	-1.945	-1.516	1.786	(0.274, 0.463]	(-2.36, -1.216]	(-1.742, -1.358]	(1.578, 5.7]
0	0.51	-0.044	0.945	0.957	(0.463, 0.617]	(-0.39, -0.0025]	(0.796, 1.272]	(0.884, 1.084]
1	0.731	0.709	-1.671	1.584	(0.617, 0.745]	(0.383, 0.729]	(-1.742, -1.358]	(1.578, 5.7]
0	1.076	0.028	0.125	1.631	(1.045, 1.267]	(-0.0025, 0.383]	(-0.0495, 0.416]	(1.578, 5.7]
1	0.785	-1.019	0.79	0.688	(0.745, 0.881]	(-1.216, -0.727]	(0.416, 0.796]	(0.56, 0.727]
1	0.68	0.577	0.657	0.565	(0.617, 0.745]	(0.383, 0.729]	(0.416, 0.796]	(0.56, 0.727]
0	1.612	0.907	-0.118	1.128	(1.267, 1.663]	(0.729, 1.236]	(-0.498, -0.0495]	(1.084, 1.27]
0	1.324	0.518	-1.578	0.692	(1.267, 1.663]	(0.383, 0.729]	(-1.742, -1.358]	(0.56, 0.727]
0	0.952	-1.832	0.426	1.383	(0.881, 1.045]	(-2.36, -1.216]	(0.416, 0.796]	(1.27, 1.578]
1	1.674	0.081	-1.698	1.277	(1.663, 5.331]	(-0.0025, 0.383]	(-1.742, -1.358]	(1.27, 1.578]
0	1.436	0.264	-0.97	1.42	(1.267, 1.663]	(-0.0025, 0.383]	(-1.358, -0.897]	(1.27, 1.578]
0	1.763	1.187	0.443	0.876	(1.663, 5.331]	(0.729, 1.236]	(0.416, 0.796]	(0.727, 0.884]
1	0.951	-0.172	0.304	0.352	(0.881, 1.045]	(-0.39, -0.0025]	(-0.0495, 0.416]	(0.018, 0.376]
0	1.69	1.438	0.949	0.772	(1.663, 5.331]	(1.236, 2.43]	(0.796, 1.272]	(0.727, 0.884]
0	1.552	0.228	0.776	1.065	(1.267, 1.663]	(-0.0025, 0.383]	(0.416, 0.796]	(0.884, 1.084]
1	0.73	0.076	-0.712	0.749	(0.617, 0.745]	(-0.0025, 0.383]	(-0.897, -0.498]	(0.727, 0.884]
1	0.562	0.301	-1.472	0.944	(0.463, 0.617]	(-0.0025, 0.383]	(-1.742, -1.358]	(0.884, 1.084]
1	0.667	-0.357	-1.584	1.287	(0.617, 0.745]	(-0.39, -0.0025]	(-1.742, -1.358]	(1.27, 1.578]
1	0.934	0.111	-1.263	2.339	(0.881, 1.045]	(-0.0025, 0.383]	(-1.358, -0.897]	(1.578, 5.7]
0	0.463	0.022	-1.153	0.431	(0.274, 0.463]	(-0.0025, 0.383]	(-1.358, -0.897]	(0.376, 0.56]
0	0.61	-0.721	0.047	1.126	(0.463, 0.617]	(-0.727, -0.39]	(-0.0495, 0.416]	(1.084, 1.27]
1	1.468	0.169	0.736	0.469	(1.267, 1.663]	(-0.0025, 0.383]	(0.416, 0.796]	(0.376, 0.56]
1	0.38	1.267	1.541	0.874	(0.274, 0.463]	(1.236, 2.43]	(1.272, 1.743]	(0.727, 0.884]
1	1.131	-0.147	0.081	2.441	(1.045, 1.267]	(-0.39, -0.0025]	(-0.0495, 0.416]	(1.578, 5.7]
0	0.518	2.315	0.329	1.341	(0.463, 0.617]	(1.236, 2.43]	(-0.0495, 0.416]	(1.27, 1.578]
0	1.107	1.54	-1.021	0.954	(1.045, 1.267]	(1.236, 2.43]	(-1.358, -0.897]	(0.884, 1.084]
0	2.144	-0.219	-1.342	0.564	(1.663, 5.331]	(-0.39, -0.0025]	(-1.358, -0.897]	(0.56, 0.727]
1	1.197	-0.081	0.919	0.618	(1.045, 1.267]	(-0.39, -0.0025]	(0.796, 1.272]	(0.56, 0.727]
1	1.061	-0.736	1.441	0.997	(1.045, 1.267]	(-1.216, -0.727]	(1.272, 1.743]	(0.884, 1.084]
1	0.796	2.221	1.734	0.569	(0.745, 0.881]	(1.236, 2.43]	(1.272, 1.743]	(0.56, 0.727]
1	0.586	-1.09	-0.937	1.28	(0.463, 0.617]	(-1.216, -0.727]	(-1.358, -0.897]	(1.27, 1.578]
0	0.953	-0.957	0.828	1.468	(0.881, 1.045]	(-1.216, -0.727]	(0.796, 1.272]	(1.27, 1.578]
0	1.127	1.349	-0.949	1.41	(1.045, 1.267]	(1.236, 2.43]	(-1.358, -0.897]	(1.27, 1.578]
1	0.571	-0.457	-1.127	1.556	(0.463, 0.617]	(-0.727, -0.39]	(-1.358, -0.897]	(1.27, 1.578]
1	1.883	-0.76	1.158	1.173	(1.663, 5.331]	(-1.216, -0.727]	(0.796, 1.272]	(1.084, 1.27]
1	0.609	-0.069	-1.094	0.776	(0.463, 0.617]	(-0.39, -0.0025]	(-1.358, -0.897]	(0.727, 0.884]
0	0.805	1.15	1.305	1.911	(0.745, 0.881]	(0.729, 1.236]	(1.272, 1.743]	(1.578, 5.7]
0	0.64	0.104	-1.14	1.011	(0.617, 0.745]	(-0.0025, 0.383]	(-1.358, -0.897]	(0.884, 1.084]
1	0.462	0.106	-0.497	0.753	(0.274, 0.463]	(-0.0025, 0.383]	(-0.498, -0.0495]	(0.727, 0.884]
1	1.193	-0.881	-0.713	0.668	(1.045, 1.267]	(-1.216, -0.727]	(-0.897, -0.498]	(0.56, 0.727]
0	1.116	1.277	0.465	0.612	(1.045, 1.267]	(1.236, 2.43]	(0.416, 0.796]	(0.56, 0.727]
0	0.566	-0.8	-0.36	1.095	(0.463, 0.617]	(-1.216, -0.727]	(-0.498, -0.0495]	(1.084, 1.27]
0	0.654	-0.28	-1.24	1.077	(0.617, 0.745]	(-0.39, -0.0025]	(-1.358, -0.897]	(0.884, 1.084]
0	0.78	-0.675	1.168	0.783	(0.745, 0.881]	(-0.727, -0.39]	(0.796, 1.272]	(0.727, 0.884]
1	0.651	-0.058	-0.599	1.62	(0.617, 0.745]	(-0.39, -0.0025]	(-0.897, -0.498]	(1.578, 5.7]
1	0.998	0.385	-0.033	1.496	(0.881, 1.045]	(0.383, 0.729]	(-0.0495, 0.416]	(1.27, 1.578]
0	1.818	1.089	1.715	1.05	(1.663, 5.331]	(0.729, 1.236]	(1.272, 1.743]	(0.884, 1.084]
1	1.116	0.725	0.711	1.18	(1.045, 1.267]	(0.383, 0.729]	(0.416, 0.796]	(1.084, 1.27]
1	0.488	0.183	-1.314	1.377	(0.463, 0.617]	(-0.0025, 0.383]	(-1.358, -0.897]	(1.27, 1.578]
0	0.963	0.638	1.729	0.933	(0.881, 1.045]	(0.383, 0.729]	(1.272, 1.743]	(0.884, 1.084]
1	1.042	-0.348	-0.758	1.613	(0.881, 1.045]	(-0.39, -0.0025]	(-0.897, -0.498]	(1.578, 5.7]
0	0.408	-2.071	1.086	1.695	(0.274, 0.463]	(-2.36, -1.216]	(0.796, 1.272]	(1.578, 5.7]
0	1.003	0.687	-1.158	0.648	(0.881, 1.045]	(0.383, 0.729]	(-1.358, -0.897]	(0.56, 0.727]
0	0.95	-0.796	0.636	0.391	(0.881, 1.045]	(-1.216, -0.727]	(0.416, 0.796]	(0.376, 0.56]
1	1.089	-0.397	-1.419	0.292	(1.045, 1.267]	(-0.727, -0.39]	(-1.742, -1.358]	(0.018, 0.376]
1	0.302	1.168	0.252	0.226	(0.274, 0.463]	(0.729, 1.236]	(-0.0495, 0.416]	(0.018, 0.376]
1	0.652	0.543	-1.645	0.683	(0.617, 0.745]	(0.383, 0.729]	(-1.742, -1.358]	(0.56, 0.727]
1	1.559	0.828	-1.298	1.116	(1.267, 1.663]	(0.729, 1.236]	(-1.358, -0.897]	(1.084, 1.27]
0	0.451	1.024	-1.245	0.855	(0.274, 0.463]	(0.729, 1.236]	(-1.358, -0.897]	(0.727, 0.884]
0	1.579	0.002	-1.705	0.922	(1.267, 1.663]	(-0.0025, 0.383]	(-1.742, -1.358]	(0.884, 1.084]
1	0.809	-0.003	0.685	0.716	(0.745, 0.881]	(-0.39, -0.0025]	(0.416, 0.796]	(0.56, 0.727]
0	0.595	1.803	0.639	0.851	(0.463, 0.617]	(1.236, 2.43]	(0.416, 0.796]	(0.727, 0.884]
0	0.775	0.764	-1.566	0.592	(0.745, 0.881]	(0.729, 1.236]	(-1.742, -1.358]	(0.56, 0.727]
1	0.544	-1.35	-0.754	0.636	(0.463, 0.617]	(-2.36, -1.216]	(-0.897, -0.498]	(0.56, 0.727]
0	1.037	0.854	0.339	0.543	(0.881, 1.045]	(0.729, 1.236]	(-0.0495, 0.416]	(0.376, 0.56]
1	0.669	-0.383	-1.047	0.892	(0.617, 0.745]	(-0.39, -0.0025]	(-1.358, -0.897]	(0.884, 1.084]
0	0.552	1.123	0.951	1.039	(0.463, 0.617]	(0.729, 1.236]	(0.796, 1.272]	(0.884, 1.084]
1	0.933	-0.06	-1.544	0.469	(0.881, 1.045]	(-0.39, -0.0025]	(-1.742, -1.358]	(0.376, 0.56]
1	0.648	0.439	0.041	1.678	(0.617, 0.745]	(0.383, 0.729]	(-0.0495, 0.416]	(1.578, 5.7]
0	1.038	-1.641	0.223	0.79	(0.881, 1.045]	(-2.36, -1.216]	(-0.0495, 0.416]	(0.727, 0.884]
1	1.106	0.303	-0.341	1.223	(1.045, 1.267]	(-0.0025, 0.383]	(-0.498, -0.0495]	(1.084, 1.27]
1	0.299	0.479	1.727	1.487	(0.274, 0.463]	(0.383, 0.729]	(1.272, 1.743]	(1.27, 1.578]
0	0.907	0.334	-0.775	0.58	(0.881, 1.045]	(-0.0025, 0.383]	(-0.897, -0.498]	(0.56, 0.727]
1	0.558	0.003	1.133	1.205	(0.463, 0.617]	(-0.0025, 0.383]	(0.796, 1.272]	(1.084, 1.27]
1	0.696	0.696	0.731	0.731	(0.617, 0.745]	(0.383, 0.729]	(0.416, 0.796]	(0.727, 0.884]
1	0.44	-0.663	0.928	1.982	(0.274, 0.463]	(-0.727, -0.39]	(0.796, 1.272]	(1.578, 5.7]
1	1.078	0.892	0.67	1.059	(1.045, 1.267]	(0.729, 1.236]	(0.416, 0.796]	(0.884, 1.084]
1	1.242	0.567	-0.166	1.531	(1.045, 1.267]	(0.383, 0.729]	(-0.498, -0.0495]	(1.27, 1.578]
1	0.538	1.149	1.727	0.914	(0.463, 0.617]	(0.729, 1.236]	(1.272, 1.743]	(0.884, 1.084]
1	1.693	0.392	1.691	1.251	(1.663, 5.331]	(0.383, 0.729]	(1.272, 1.743]	(1.084, 1.27]
0	0.917	-0.25	0.669	0.803	(0.881, 1.045]	(-0.39, -0.0025]	(0.416, 0.796]	(0.727, 0.884]
1	1.305	1.039	1.573	1.512	(1.267, 1.663]	(0.729, 1.236]	(1.272, 1.743]	(1.27, 1.578]
1	0.911	0.276	-0.32	1.795	(0.881, 1.045]	(-0.0025, 0.383]	(-0.498, -0.0495]	(1.578, 5.7]
1	0.686	-0.5	0.939	1.35	(0.617, 0.745]	(-0.727, -0.39]	(0.796, 1.272]	(1.27, 1.578]
0	1.154	-0.132	-1.172	1.205	(1.045, 1.267]	(-0.39, -0.0025]	(-1.358, -0.897]	(1.084, 1.27]
1	0.895	-1.061	0.742	0.84	(0.881, 1.045]	(-1.216, -0.727]	(0.416, 0.796]	(0.727, 0.884]
1	1.776	1.181	-1.527	0.775	(1.663, 5.331]	(0.729, 1.236]	(-1.742, -1.358]	(0.727, 0.884]
1	0.999	-2.31	0.531	0.385	(0.881, 1.045]	(-2.36, -1.216]	(0.416, 0.796]	(0.376, 0.56]
1	0.879	1.53	-0.715	0.825	(0.745, 0.881]	(1.236, 2.43]	(-0.897, -0.498]	(0.727, 0.884]
1	2.368	0.796	0.542	1.064	(1.663, 5.331]	(0.729, 1.236]	(0.416, 0.796]	(0.884, 1.084]
1	1.663	-0.508	0.134	0.601	(1.267, 1.663]	(-0.727, -0.39]	(-0.0495, 0.416]	(0.56, 0.727]
0	0.413	0.203	1.624	1.527	(0.274, 0.463]	(-0.0025, 0.383]	(1.272, 1.743]	(1.27, 1.578]
1	1.084	0.762	1.222	0.897	(1.045, 1.267]	(0.729, 1.236]	(0.796, 1.272]	(0.884, 1.084]
1	0.952	-0.757	1.033	0.522	(0.881, 1.045]	(-1.216, -0.727]	(0.796, 1.272]	(0.376, 0.56]
1	1.502	1.209	0.702	0.759	(1.267, 1.663]	(0.729, 1.236]	(0.416, 0.796]	(0.727, 0.884]
0	0.51	-0.845	-0.825	0.923	(0.463, 0.617]	(-1.216, -0.727]	(-0.897, -0.498]	(0.884, 1.084]
0	0.937	0.03	-0.446	0.814	(0.881, 1.045]	(-0.0025, 0.383]	(-0.498, -0.0495]	(0.727, 0.884]
1	1.154	-0.586	-0.91	1.279	(1.045, 1.267]	(-0.727, -0.39]	(-1.358, -0.897]	(1.27, 1.578]
1	1.046	-0.419	-0.646	0.379	(1.045, 1.267]	(-0.727, -0.39]	(-0.897, -0.498]	(0.376, 0.56]
0	1.434	-0.903	-0.793	0.328	(1.267, 1.663]	(-1.216, -0.727]	(-0.897, -0.498]	(0.018, 0.376]
0	1.759	1.471	-1.264	1.191	(1.663, 5.331]	(1.236, 2.43]	(-1.358, -0.897]	(1.084, 1.27]
0	1.088	-0.611	1.523	0.421	(1.045, 1.267]	(-0.727, -0.39]	(1.272, 1.743]	(0.376, 0.56]
0	3.865	-1.225	-0.169	0.486	(1.663, 5.331]	(-2.36, -1.216]	(-0.498, -0.0495]	(0.376, 0.56]
